response_id,ad_id,year,brand,respondent_age,respondent_gender,quality_profile,ad_likeability,memorability,emotional_impact,brand_recall,purchase_intent,completion_time,attention_check,open_feedback,timestamp,feedback_length,rating_variance,attention_passed
R0003,AD_047,2000,Budweiser,35-44,Other,high_quality,5,5,4,4,2,122.87246648117967,Budweiser,Loved the creativity in this Budweiser spot. It stood out and made me smile.,2025-10-31 16:58:47.502015,76,1.5,True
R0003,AD_054,2017,Kia,18-24,Male,high_quality,5,2,3,4,3,164.77175875318375,Kia,Loved the creativity in this Kia spot. It stood out and made me smile.,2025-11-24 16:58:47.502015,70,1.2999999999999998,True
R0003,AD_198,2012,Coca-Cola,55+,Other,high_quality,3,5,2,4,3,107.45203429821031,Coca-Cola,Great execution by Coca-Cola. The ad was funny without being forced.,2025-10-29 16:58:47.502015,68,1.2999999999999998,True
R0003,AD_193,2013,Budweiser,45-54,Male,high_quality,3,5,2,2,4,147.7720263121734,Budweiser,This Budweiser ad was well done. It held my attention and I'd consider the product.,2025-11-09 16:58:47.502015,83,1.7,True
R0004,AD_099,2012,Hyundai,45-54,Other,high_quality,5,5,3,3,2,125.79129851568969,Hyundai,The Hyundai commercial was entertaining and the brand message came through clearly.,2025-11-10 16:58:47.503015,83,1.8,True
R0004,AD_116,2014,Toyota,18-24,Male,high_quality,5,5,2,4,4,131.01471651290828,Toyota,The Toyota commercial was entertaining and the brand message came through clearly.,2025-11-01 16:58:47.503015,82,1.5,True
R0004,AD_221,2014,Budweiser,55+,Male,high_quality,3,3,4,4,3,147.42380938220626,Budweiser,This Budweiser ad was well done. It held my attention and I'd consider the product.,2025-11-18 16:58:47.503015,83,0.30000000000000004,True
R0004,AD_225,2012,Doritos,18-24,Other,high_quality,5,5,4,2,4,159.83927489633714,Doritos,This Doritos ad was well done. It held my attention and I'd consider the product.,2025-11-02 16:58:47.503015,81,1.5,True
R0005,AD_101,2015,Kia,35-44,Male,high_quality,5,5,3,4,3,157.34037933189668,Kia,The Kia commercial was entertaining and the brand message came through clearly.,2025-11-12 16:58:47.504014,79,1.0,True
R0005,AD_160,2012,Coca-Cola,35-44,Other,high_quality,2,5,4,2,4,92.07040943360045,Coca-Cola,Loved the creativity in this Coca-Cola spot. It stood out and made me smile.,2025-10-31 16:58:47.504014,76,1.7999999999999998,True
R0005,AD_179,2016,Budweiser,55+,Male,high_quality,2,5,4,3,2,124.48471427307435,Budweiser,This Budweiser ad was well done. It held my attention and I'd consider the product.,2025-10-27 16:58:47.504014,83,1.7,True
R0005,AD_109,2004,Bud Light,55+,Male,high_quality,5,4,3,3,2,152.08188744452437,Bud Light,"Really enjoyed this Bud Light ad. Creative and memorable, would definitely share with friends.",2025-10-28 16:58:47.504014,94,1.2999999999999998,True
R0006,AD_037,2018,Coca-Cola,35-44,Male,high_quality,2,5,2,4,4,152.3368704105296,Coca-Cola,"Really enjoyed this Coca-Cola ad. Creative and memorable, would definitely share with friends.",2025-11-24 16:58:47.504014,94,1.7999999999999998,True
R0006,AD_162,2008,Coca-Cola,18-24,Other,high_quality,5,5,4,4,2,131.3357551246013,Coca-Cola,The Coca-Cola commercial was entertaining and the brand message came through clearly.,2025-11-05 16:58:47.504014,85,1.5,True
R0006,AD_132,2016,Doritos,55+,Male,high_quality,5,5,3,4,4,118.15278348754475,Doritos,Great execution by Doritos. The ad was funny without being forced.,2025-10-27 16:58:47.504014,66,0.7,True
R0006,AD_192,2003,Budweiser,55+,Other,high_quality,5,5,4,2,4,94.3795323395935,Budweiser,Loved the creativity in this Budweiser spot. It stood out and made me smile.,2025-11-14 16:58:47.504014,76,1.5,True
R0007,AD_215,2004,Bud Light,45-54,Other,high_quality,5,5,3,4,2,142.46101153977233,Bud Light,The Bud Light commercial was entertaining and the brand message came through clearly.,2025-11-19 16:58:47.505014,85,1.7000000000000002,True
R0007,AD_050,2007,Doritos,18-24,Other,high_quality,5,5,4,2,4,90.74304625311076,Doritos,The Doritos commercial was entertaining and the brand message came through clearly.,2025-11-26 16:58:47.505014,83,1.5,True
R0007,AD_233,2001,Doritos,18-24,Male,high_quality,5,5,2,4,2,83.59650620437333,Doritos,Loved the creativity in this Doritos spot. It stood out and made me smile.,2025-11-24 16:58:47.505014,74,2.3000000000000003,True
R0007,AD_184,2004,Bud Light,35-44,Other,high_quality,5,5,3,2,4,110.8125509718257,Bud Light,The Bud Light commercial was entertaining and the brand message came through clearly.,2025-11-03 16:58:47.505753,85,1.7,True
R0007,AD_015,2017,NFL,55+,Other,high_quality,3,5,2,3,3,147.2439476418426,NFL,The NFL commercial was entertaining and the brand message came through clearly.,2025-11-23 16:58:47.505753,79,1.2,True
R0008,AD_223,2015,Coca-Cola,35-44,Female,high_quality,3,3,4,2,4,126.0979259299245,Coca-Cola,"Really enjoyed this Coca-Cola ad. Creative and memorable, would definitely share with friends.",2025-11-25 16:58:47.506844,94,0.7,True
R0008,AD_202,2006,Pepsi,35-44,Male,high_quality,5,5,2,4,2,135.22542753629926,Pepsi,The Pepsi commercial was entertaining and the brand message came through clearly.,2025-11-09 16:58:47.506844,81,2.3000000000000003,True
R0008,AD_080,2015,Budweiser,45-54,Male,high_quality,3,5,4,3,2,92.83366177037172,Budweiser,"Really enjoyed this Budweiser ad. Creative and memorable, would definitely share with friends.",2025-11-12 16:58:47.506844,94,1.2999999999999998,True
R0009,AD_013,2002,Budweiser,55+,Male,high_quality,2,5,4,2,2,93.0952088089304,Budweiser,Great execution by Budweiser. The ad was funny without being forced.,2025-11-11 16:58:47.507842,68,2.0,True
R0009,AD_005,2020,Toyota,45-54,Male,high_quality,5,5,2,4,3,116.93419458226097,Toyota,"Really enjoyed this Toyota ad. Creative and memorable, would definitely share with friends.",2025-11-14 16:58:47.507842,91,1.7,True
R0009,AD_218,2013,Pepsi,45-54,Female,high_quality,5,3,4,4,4,106.56935557001576,Pepsi,Great execution by Pepsi. The ad was funny without being forced.,2025-11-22 16:58:47.507842,64,0.5,True
R0009,AD_230,2013,Hyundai,25-34,Male,high_quality,4,5,4,4,2,99.1888420116309,Hyundai,Loved the creativity in this Hyundai spot. It stood out and made me smile.,2025-11-25 16:58:47.507842,74,1.2,True
R0009,AD_040,2018,Kia,45-54,Other,high_quality,4,2,2,4,4,107.46672698776086,Kia,"Really enjoyed this Kia ad. Creative and memorable, would definitely share with friends.",2025-10-30 16:58:47.507842,88,1.2,True
R0010,AD_000,2018,Toyota,18-24,Other,high_quality,2,3,2,4,2,127.26912498609781,Toyota,This Toyota ad was well done. It held my attention and I'd consider the product.,2025-11-07 16:58:47.508844,80,0.8,True
R0010,AD_226,2002,Pepsi,18-24,Female,high_quality,4,5,4,4,4,70.20082620573194,Pepsi,This Pepsi ad was well done. It held my attention and I'd consider the product.,2025-11-16 16:58:47.508844,79,0.19999999999999996,True
R0010,AD_047,2000,Budweiser,25-34,Other,high_quality,5,5,4,3,2,148.83277426087298,Budweiser,Loved the creativity in this Budweiser spot. It stood out and made me smile.,2025-11-14 16:58:47.508844,76,1.7000000000000002,True
R0011,AD_161,2011,Hyundai,35-44,Female,high_quality,3,2,2,3,4,124.05850333664618,Hyundai,This Hyundai ad was well done. It held my attention and I'd consider the product.,2025-11-23 16:58:47.508844,81,0.7,True
R0011,AD_115,2003,Bud Light,25-34,Other,high_quality,5,5,3,2,3,76.6839123262229,Bud Light,"Really enjoyed this Bud Light ad. Creative and memorable, would definitely share with friends.",2025-10-29 16:58:47.508844,94,1.8,True
R0011,AD_066,2002,Budweiser,35-44,Male,high_quality,5,5,3,4,4,119.36433998329646,Budweiser,Loved the creativity in this Budweiser spot. It stood out and made me smile.,2025-11-07 16:58:47.508844,76,0.7,True
R0012,AD_095,2009,Bud Light,55+,Female,high_quality,5,5,4,2,2,117.89822119107822,Bud Light,Loved the creativity in this Bud Light spot. It stood out and made me smile.,2025-11-23 16:58:47.509843,76,2.3,True
R0012,AD_218,2013,Pepsi,55+,Male,high_quality,5,3,3,4,2,136.67293398546127,Pepsi,Loved the creativity in this Pepsi spot. It stood out and made me smile.,2025-11-20 16:58:47.509843,72,1.2999999999999998,True
R0012,AD_051,2009,Budweiser,35-44,Other,high_quality,5,5,4,3,3,150.4650731541065,Budweiser,"Really enjoyed this Budweiser ad. Creative and memorable, would definitely share with friends.",2025-11-24 16:58:47.509843,94,1.0,True
R0012,AD_094,2019,Toyota,35-44,Male,high_quality,2,5,3,2,4,129.07489949646268,Toyota,Loved the creativity in this Toyota spot. It stood out and made me smile.,2025-11-21 16:58:47.509843,73,1.7,True
R0012,AD_091,2013,Hyundai,55+,Other,high_quality,5,5,3,4,2,147.26545962770916,Hyundai,"Really enjoyed this Hyundai ad. Creative and memorable, would definitely share with friends.",2025-11-24 16:58:47.509843,92,1.7000000000000002,True
R0013,AD_208,2014,Bud Light,55+,Male,high_quality,3,5,4,4,2,135.0591779300143,Bud Light,Great execution by Bud Light. The ad was funny without being forced.,2025-11-22 16:58:47.509843,68,1.3,True
R0013,AD_017,2009,Pepsi,35-44,Male,high_quality,5,3,2,4,2,91.95417953440528,Pepsi,"Really enjoyed this Pepsi ad. Creative and memorable, would definitely share with friends.",2025-11-15 16:58:47.509843,90,1.7,True
R0013,AD_055,2007,Bud Light,45-54,Other,high_quality,5,5,4,2,2,130.36744114452765,Bud Light,The Bud Light commercial was entertaining and the brand message came through clearly.,2025-11-01 16:58:47.510841,85,2.3,True
R0013,AD_094,2019,Toyota,45-54,Male,high_quality,2,5,4,3,3,128.25998849831598,Toyota,The Toyota commercial was entertaining and the brand message came through clearly.,2025-11-18 16:58:47.510841,82,1.2999999999999998,True
R0013,AD_009,2020,Budweiser,18-24,Female,high_quality,2,5,4,4,3,78.45710862376637,Budweiser,The Budweiser commercial was entertaining and the brand message came through clearly.,2025-11-20 16:58:47.510841,85,1.3000000000000003,True
R0014,AD_237,2001,NFL,25-34,Male,straight_liner,1,1,1,1,1,55.48975273337756,Toyota,ok,2025-11-14 16:58:47.510841,2,0.0,False
R0014,AD_203,2006,Pepsi,18-24,Female,straight_liner,3,3,3,3,3,54.847858535931195,Toyota,meh,2025-11-14 16:58:47.510841,3,0.0,False
R0014,AD_013,2002,Budweiser,55+,Female,straight_liner,1,1,1,1,1,65.38554355080791,Budweiser,fine,2025-11-21 16:58:47.511823,4,0.0,True
R0014,AD_085,2015,Doritos,35-44,Male,straight_liner,1,1,1,1,1,62.41769201216123,Toyota,nothing special,2025-11-15 16:58:47.511823,15,0.0,False
R0015,AD_136,2008,Bud Light,45-54,Other,high_quality,5,5,4,2,3,135.9391071027905,Bud Light,This Bud Light ad was well done. It held my attention and I'd consider the product.,2025-11-20 16:58:47.511823,83,1.7000000000000002,True
R0015,AD_085,2015,Doritos,45-54,Male,high_quality,5,5,4,4,4,103.5980419962592,Doritos,The Doritos commercial was entertaining and the brand message came through clearly.,2025-11-15 16:58:47.511823,83,0.30000000000000004,True
R0015,AD_040,2018,Kia,35-44,Other,high_quality,3,4,2,4,4,125.49659987742504,Kia,Loved the creativity in this Kia spot. It stood out and made me smile.,2025-11-10 16:58:47.511823,70,0.7999999999999999,True
R0015,AD_206,2009,Doritos,45-54,Female,high_quality,5,5,3,4,3,117.60637023762615,Doritos,This Doritos ad was well done. It held my attention and I'd consider the product.,2025-11-22 16:58:47.512868,81,1.0,True
R0015,AD_006,2020,Coca-Cola,45-54,Other,high_quality,5,4,2,4,4,98.96589379298153,Coca-Cola,This Coca-Cola ad was well done. It held my attention and I'd consider the product.,2025-11-17 16:58:47.512868,83,1.2000000000000002,True
R0016,AD_018,2004,Bud Light,18-24,Female,straight_liner,3,3,3,3,3,61.438116394070946,Budweiser,nothing special,2025-11-01 16:58:47.512868,15,0.0,False
R0016,AD_038,2013,Hyundai,35-44,Female,straight_liner,3,3,3,3,3,62.399543435870456,Pepsi,idk,2025-11-20 16:58:47.512868,3,0.0,False
R0016,AD_234,2016,Doritos,25-34,Other,straight_liner,1,1,1,1,1,60.33521990623761,Pepsi,meh,2025-11-05 16:58:47.512868,3,0.0,False
R0016,AD_229,2001,Bud Light,35-44,Male,straight_liner,1,1,1,1,1,63.98822567297387,Toyota,fine,2025-11-19 16:58:47.512868,4,0.0,False
R0017,AD_134,2002,Bud Light,18-24,Male,high_quality,5,3,4,2,3,90.4667114255559,Bud Light,Great execution by Bud Light. The ad was funny without being forced.,2025-10-29 16:58:47.512868,68,1.2999999999999998,True
R0017,AD_044,2017,NFL,25-34,Other,high_quality,4,5,4,4,3,111.2836093496874,NFL,Great execution by NFL. The ad was funny without being forced.,2025-11-14 16:58:47.512868,62,0.5,True
R0017,AD_203,2006,Pepsi,18-24,Male,high_quality,5,5,3,4,2,111.23158483400972,Pepsi,The Pepsi commercial was entertaining and the brand message came through clearly.,2025-11-01 16:58:47.513876,81,1.7000000000000002,True
R0018,AD_243,2001,Budweiser,18-24,Other,straight_liner,1,1,1,1,1,60.538732513312226,Budweiser,nothing special,2025-11-22 16:58:47.513876,15,0.0,True
R0018,AD_043,2010,E-Trade,55+,Other,straight_liner,5,5,5,5,5,69.04249805166793,Pepsi,whatever,2025-10-29 16:58:47.513876,8,0.0,False
R0018,AD_137,2012,Coca-Cola,55+,Female,straight_liner,5,5,5,5,5,58.2772027580408,Pepsi,ok,2025-11-03 16:58:47.513876,2,0.0,False
R0018,AD_209,2005,Pepsi,45-54,Female,straight_liner,1,1,1,1,1,70.84484729349786,Toyota,fine,2025-11-02 16:58:47.513876,4,0.0,False
R0018,AD_240,2012,Budweiser,45-54,Other,straight_liner,1,1,1,1,1,68.33024506001915,Pepsi,nothing special,2025-11-24 16:58:47.513876,15,0.0,False
R0019,AD_168,2019,Bud Light,35-44,Female,high_quality,5,5,3,4,2,118.82773660447086,Bud Light,The Bud Light commercial was entertaining and the brand message came through clearly.,2025-11-22 16:58:47.513876,85,1.7000000000000002,True
R0019,AD_099,2012,Hyundai,25-34,Other,high_quality,5,5,2,2,3,116.60215201677048,Hyundai,Great execution by Hyundai. The ad was funny without being forced.,2025-11-16 16:58:47.515381,66,2.3,True
R0019,AD_089,2012,Bud Light,45-54,Male,high_quality,5,5,2,3,3,88.85332842046584,Bud Light,This Bud Light ad was well done. It held my attention and I'd consider the product.,2025-10-27 16:58:47.515381,83,1.8000000000000003,True
R0019,AD_206,2009,Doritos,55+,Female,high_quality,5,5,3,2,3,122.63087476839863,Doritos,Loved the creativity in this Doritos spot. It stood out and made me smile.,2025-11-02 16:58:47.515381,74,1.8,True
R0019,AD_098,2019,Coca-Cola,45-54,Other,high_quality,4,5,4,4,4,116.56845426801522,Coca-Cola,This Coca-Cola ad was well done. It held my attention and I'd consider the product.,2025-10-29 16:58:47.515381,83,0.19999999999999996,True
R0020,AD_025,2019,Doritos,35-44,Female,high_quality,3,5,2,4,3,89.39548630185581,Doritos,Loved the creativity in this Doritos spot. It stood out and made me smile.,2025-11-05 16:58:47.515381,74,1.2999999999999998,True
R0020,AD_087,2016,NFL,45-54,Other,high_quality,2,3,4,4,2,99.99328827826423,NFL,This NFL ad was well done. It held my attention and I'd consider the product.,2025-11-09 16:58:47.515381,77,1.0,True
R0020,AD_165,2002,Bud Light,45-54,Other,high_quality,5,4,4,2,2,100.46213031468868,Bud Light,Great execution by Bud Light. The ad was funny without being forced.,2025-11-22 16:58:47.515381,68,1.7999999999999998,True
R0021,AD_034,2001,Bud Light,35-44,Female,straight_liner,3,3,3,3,3,50.45187079540297,Budweiser,nothing special,2025-11-16 16:58:47.516388,15,0.0,False
R0021,AD_223,2015,Coca-Cola,45-54,Female,straight_liner,3,3,3,3,3,55.12501644221612,Pepsi,whatever,2025-11-24 16:58:47.516388,8,0.0,False
R0021,AD_032,2010,Bud Light,55+,Male,straight_liner,3,3,3,3,3,59.109205086391405,Budweiser,idk,2025-11-24 16:58:47.516388,3,0.0,False
R0021,AD_022,2019,Hyundai,18-24,Male,straight_liner,1,1,1,1,1,68.43699148832684,Budweiser,whatever,2025-11-26 16:58:47.516388,8,0.0,False
R0022,AD_137,2012,Coca-Cola,25-34,Female,inconsistent,1,1,2,5,5,99.14294074708742,Wrong Brand,Hated this Coca-Cola ad but would buy the product anyway,2025-11-02 16:58:47.516388,56,4.2,False
R0022,AD_204,2015,Pepsi,35-44,Male,inconsistent,1,2,2,5,4,139.1580704586651,Wrong Brand,Worst commercial ever but very memorable somehow,2025-11-23 16:58:47.516388,48,2.7,False
R0022,AD_172,2010,E-Trade,35-44,Other,inconsistent,1,1,2,5,5,131.83158014974634,Wrong Brand,Didn't like it at all but would recommend to friends,2025-11-26 16:58:47.517391,52,4.2,False
R0022,AD_060,2016,Hyundai,45-54,Male,inconsistent,2,2,2,4,5,140.97453761997463,Wrong Brand,Didn't like it at all but would recommend to friends,2025-11-07 16:58:47.517391,52,2.0,False
R0022,AD_162,2008,Coca-Cola,55+,Female,inconsistent,2,2,2,5,4,138.49195312840536,Coca-Cola,Hated this Coca-Cola ad but would buy the product anyway,2025-11-18 16:58:47.517391,56,2.0,True
R0023,AD_182,2014,Coca-Cola,45-54,Other,high_quality,4,5,4,4,3,108.63548749879827,Coca-Cola,Loved the creativity in this Coca-Cola spot. It stood out and made me smile.,2025-11-26 16:58:47.517391,76,0.5,True
R0023,AD_139,2010,Doritos,35-44,Male,high_quality,5,5,3,2,3,128.7850212590682,Doritos,Loved the creativity in this Doritos spot. It stood out and made me smile.,2025-11-16 16:58:47.517391,74,1.8,True
R0023,AD_078,2016,Budweiser,55+,Other,high_quality,3,5,4,4,2,117.49429332035996,Budweiser,This Budweiser ad was well done. It held my attention and I'd consider the product.,2025-10-27 16:58:47.518388,83,1.3,True
R0023,AD_000,2018,Toyota,25-34,Other,high_quality,3,3,4,2,4,98.8841663879568,Toyota,Great execution by Toyota. The ad was funny without being forced.,2025-11-06 16:58:47.518388,65,0.7,True
R0024,AD_042,2018,NFL,18-24,Male,high_quality,5,5,3,4,2,116.90425772299685,NFL,Great execution by NFL. The ad was funny without being forced.,2025-11-04 16:58:47.518388,62,1.7000000000000002,True
R0024,AD_034,2001,Bud Light,55+,Female,high_quality,5,5,3,4,4,91.67276377876155,Bud Light,Loved the creativity in this Bud Light spot. It stood out and made me smile.,2025-11-13 16:58:47.518388,76,0.7,True
R0024,AD_051,2009,Budweiser,55+,Female,high_quality,5,5,4,3,4,150.24836002502116,Budweiser,Great execution by Budweiser. The ad was funny without being forced.,2025-11-18 16:58:47.518388,68,0.7,True
R0024,AD_237,2001,NFL,25-34,Male,high_quality,4,2,3,4,2,76.11162631179212,NFL,This NFL ad was well done. It held my attention and I'd consider the product.,2025-10-27 16:58:47.519391,77,1.0,True
R0024,AD_073,2003,Bud Light,25-34,Male,high_quality,5,5,2,4,3,148.87821125159022,Bud Light,Loved the creativity in this Bud Light spot. It stood out and made me smile.,2025-11-03 16:58:47.519391,76,1.7,True
R0025,AD_047,2000,Budweiser,55+,Other,straight_liner,3,3,3,3,3,74.2982106864917,Budweiser,whatever,2025-11-20 16:58:47.519391,8,0.0,True
R0025,AD_141,2012,NFL,35-44,Male,straight_liner,3,3,3,3,3,53.88739389795433,Budweiser,idk,2025-11-09 16:58:47.519391,3,0.0,False
R0025,AD_070,2015,Budweiser,18-24,Male,straight_liner,5,5,5,5,5,48.79748879543945,Pepsi,idk,2025-10-27 16:58:47.519391,3,0.0,False
R0025,AD_094,2019,Toyota,45-54,Male,straight_liner,1,1,1,1,1,48.78838478875227,Toyota,fine,2025-11-11 16:58:47.519391,4,0.0,True
R0025,AD_002,2006,Bud Light,35-44,Male,straight_liner,1,1,1,1,1,59.36142625819194,Pepsi,whatever,2025-11-11 16:58:47.519391,8,0.0,False
R0026,AD_102,2014,Budweiser,45-54,Female,high_quality,2,4,4,4,4,111.42791579056673,Budweiser,"Really enjoyed this Budweiser ad. Creative and memorable, would definitely share with friends.",2025-11-22 16:58:47.520390,94,0.8000000000000003,True
R0026,AD_208,2014,Bud Light,55+,Female,high_quality,2,5,2,2,4,89.87167401776009,Bud Light,Great execution by Bud Light. The ad was funny without being forced.,2025-11-07 16:58:47.520390,68,2.0,True
R0026,AD_114,2014,Bud Light,55+,Male,high_quality,5,5,4,4,3,111.84203567726823,Bud Light,Great execution by Bud Light. The ad was funny without being forced.,2025-10-28 16:58:47.520390,68,0.7,True
R0027,AD_168,2019,Bud Light,55+,Female,high_quality,5,5,3,4,4,116.35754410733426,Bud Light,"Really enjoyed this Bud Light ad. Creative and memorable, would definitely share with friends.",2025-11-07 16:58:47.520390,94,0.7,True
R0027,AD_137,2012,Coca-Cola,18-24,Male,high_quality,4,5,2,3,4,135.89219876806877,Coca-Cola,"Really enjoyed this Coca-Cola ad. Creative and memorable, would definitely share with friends.",2025-11-21 16:58:47.520390,94,1.3,True
R0027,AD_170,2008,Bud Light,55+,Male,high_quality,5,5,4,4,2,98.03527882636166,Bud Light,"Really enjoyed this Bud Light ad. Creative and memorable, would definitely share with friends.",2025-11-13 16:58:47.521388,94,1.5,True
R0027,AD_052,2012,E-Trade,55+,Female,high_quality,5,3,2,2,3,93.74251239276883,E-Trade,Loved the creativity in this E-Trade spot. It stood out and made me smile.,2025-11-04 16:58:47.521388,74,1.5,True
R0028,AD_237,2001,NFL,25-34,Female,high_quality,4,4,4,4,2,107.7371540899361,NFL,Great execution by NFL. The ad was funny without being forced.,2025-11-23 16:58:47.521388,62,0.8,True
R0028,AD_199,2019,Bud Light,25-34,Female,high_quality,5,5,2,2,2,116.70854731841567,Bud Light,The Bud Light commercial was entertaining and the brand message came through clearly.,2025-11-01 16:58:47.521388,85,2.7,True
R0028,AD_175,2018,Coca-Cola,55+,Female,high_quality,3,5,2,3,4,90.69625038351556,Coca-Cola,Loved the creativity in this Coca-Cola spot. It stood out and made me smile.,2025-11-04 16:58:47.521388,76,1.2999999999999998,True
R0028,AD_132,2016,Doritos,35-44,Other,high_quality,5,5,4,3,3,108.15202521780128,Doritos,"Really enjoyed this Doritos ad. Creative and memorable, would definitely share with friends.",2025-11-07 16:58:47.521388,92,1.0,True
R0029,AD_135,2013,E-Trade,35-44,Other,bot_like,3,3,3,3,3,57.34614934301889,N/A,test response,2025-11-26 16:58:47.522390,13,0.0,False
R0029,AD_117,2009,Bud Light,55+,Other,bot_like,3,3,3,3,3,38.19184527914364,N/A,This advertisement demonstrates acceptable marketing principles.,2025-11-02 16:58:47.522390,64,0.0,False
R0029,AD_128,2008,Bud Light,35-44,Other,bot_like,3,3,3,3,3,52.13475802327775,N/A,This advertisement demonstrates acceptable marketing principles.,2025-11-02 16:58:47.522390,64,0.0,False
R0030,AD_238,2001,Pepsi,45-54,Female,speeder,2,5,4,4,1,35.4690148185294,Nike,didnt watch closely,2025-11-13 16:58:47.522390,19,2.7,False
R0030,AD_096,2019,Budweiser,18-24,Male,speeder,3,4,4,3,4,32.99955108597165,Apple,dont remember,2025-11-12 16:58:47.522390,13,0.3,False
R0030,AD_149,2007,Budweiser,35-44,Female,speeder,1,4,5,1,5,28.585076269964194,Nike,boring,2025-11-25 16:58:47.522390,6,4.199999999999999,False
R0031,AD_010,2010,Hyundai,55+,Female,high_quality,4,5,4,3,2,125.14578483635474,Hyundai,The Hyundai commercial was entertaining and the brand message came through clearly.,2025-11-18 16:58:47.523390,83,1.3,True
R0031,AD_155,2001,E-Trade,35-44,Female,high_quality,4,3,2,2,4,123.63555049008119,E-Trade,This E-Trade ad was well done. It held my attention and I'd consider the product.,2025-11-01 16:58:47.523390,81,1.0,True
R0031,AD_225,2012,Doritos,25-34,Female,high_quality,5,5,4,2,4,112.73289408783461,Doritos,Great execution by Doritos. The ad was funny without being forced.,2025-11-24 16:58:47.523390,66,1.5,True
R0032,AD_030,2019,Pepsi,18-24,Female,high_quality,5,5,2,4,4,154.1464819095085,Pepsi,The Pepsi commercial was entertaining and the brand message came through clearly.,2025-11-11 16:58:47.523390,81,1.5,True
R0032,AD_024,2011,Kia,35-44,Other,high_quality,5,5,4,3,3,133.58999983952486,Kia,Great execution by Kia. The ad was funny without being forced.,2025-11-11 16:58:47.524389,62,1.0,True
R0032,AD_142,2005,Bud Light,55+,Male,high_quality,5,5,3,2,4,108.772865847176,Bud Light,This Bud Light ad was well done. It held my attention and I'd consider the product.,2025-11-03 16:58:47.524389,83,1.7,True
R0033,AD_157,2015,Doritos,35-44,Female,straight_liner,3,3,3,3,3,70.92080803285765,Toyota,fine,2025-10-31 16:58:47.524389,4,0.0,False
R0033,AD_139,2010,Doritos,35-44,Other,straight_liner,5,5,5,5,5,45.07695778075731,Toyota,nothing special,2025-10-30 16:58:47.524389,15,0.0,False
R0033,AD_076,2001,Pepsi,55+,Female,straight_liner,3,3,3,3,3,49.45786255148367,Pepsi,meh,2025-11-02 16:58:47.524389,3,0.0,True
R0034,AD_018,2004,Bud Light,35-44,Male,high_quality,5,5,4,2,4,130.56481301521535,Bud Light,Great execution by Bud Light. The ad was funny without being forced.,2025-11-19 16:58:47.524389,68,1.5,True
R0034,AD_212,2005,Pepsi,45-54,Male,high_quality,5,3,4,4,3,158.55119218444392,Pepsi,Great execution by Pepsi. The ad was funny without being forced.,2025-11-14 16:58:47.525389,64,0.7000000000000001,True
R0034,AD_183,2012,Budweiser,25-34,Female,high_quality,2,5,4,2,4,106.74224349540106,Budweiser,This Budweiser ad was well done. It held my attention and I'd consider the product.,2025-11-16 16:58:47.525389,83,1.7999999999999998,True
